wavelength,RSR_Rrs_380,RSR_Rrs_412,RSR_Rrs_443,RSR_Rrs_490,RSR_Rrs_530,RSR_Rrs_565,RSR_Rrs_673.5,RSR_Rrs_763
592,,,,,,,,
593,,,,,,,,
594,,,,,,,,
595,,,,,,,,
596,,,,,,,,
597,,,,,,,,
598,,,,,,,,
599,,,,,,,,
600,,,,,,,,
601,,,,,,,,
602,,,,,,,,
603,,,,,,,,
604,,,,,,,,
605,,,,,,,,
606,,,,,,,,
607,,,,,,,,
608,,,,,,,,
609,,,,,,,,
610,,,,,,,,
611,,,,,,,,
612,,,,,,,,
613,,,,,,,,
614,,,,,,,,
615,,,,,,,,
616,,,,,,,,
617,,,,,,,,
618,,,,,,,,
619,,,,,,,,
620,,,,,,,,
621,,,,,,,,
622,,,,,,,,
623,,,,,,,,
624,,,,,,,,
625,,,,,,,,
626,,,,,,,,
627,,,,,,,,
628,,,,,,,,
629,,,,,,,,
630,,,,,,,,
631,,,,,,,,
632,,,,,,,,
633,,,,,,,,
634,,,,,,,,
635,,,,,,,,
636,,,,,,,,
637,,,,,,,,
638,,,,,,,,
639,,,,,,,,
640,,,,,,,,
641,,,,,,,,
642,,,,,,,,
643,,,,,,,,
644,,,,,,,,
645,,,,,,,,
646,,,,,,,,
647,,,,,,,,
648,,,,,,,,
649,,,,,,,,
650,,,,,,,0.006163,
651,,,,,,,0.008531,
652,,,,,,,0.011924,
653,,,,,,,0.016911,
654,,,,,,,0.024426,
655,,,,,,,0.036169,
656,,,,,,,0.054884,
657,,,,,,,0.086641,
658,,,,,,,0.137751,
659,,,,,,,0.220233,
660,,,,,,,0.341805,
661,,,,,,,0.501417,
662,,,,,,,0.681941,
663,,,,,,,0.836073,
664,,,,,,,0.934571,
665,,,,,,,0.972372,
666,,,,,,,0.977423,
667,,,,,,,0.9757,
668,,,,,,,0.978367,
669,,,,,,,0.98178,
670,,,,,,,0.984778,
671,,,,,,,0.984545,
672,,,,,,,0.984258,
673,,,,,,,0.984948,
674,,,,,,,0.988351,
675,,,,,,,0.993121,
676,,,,,,,0.996979,
677,,,,,,,0.995518,
678,,,,,,,0.981243,
679,,,,,,,0.945857,
680,,,,,,,0.880602,
681,,,,,,,0.781862,
682,,,,,,,0.648254,
683,,,,,,,0.497002,
684,,,,,,,0.349287,
685,,,,,,,0.229452,
686,,,,,,,0.145768,
687,,,,,,,0.091276,
688,,,,,,,0.058179,
689,,,,,,,0.037603,
690,,,,,,,0.025209,
691,,,,,,,0.017334,
692,,,,,,,0.012342,
693,,,,,,,0.009008,
694,,,,,,,0.006674,
695,,,,,,,,
696,,,,,,,,
697,,,,,,,,
698,,,,,,,,
699,,,,,,,,
700,,,,,,,,
701,,,,,,,,
702,,,,,,,,
703,,,,,,,,
704,,,,,,,,
705,,,,,,,,
706,,,,,,,,
707,,,,,,,,
708,,,,,,,,
709,,,,,,,,
710,,,,,,,,
711,,,,,,,,
712,,,,,,,,
713,,,,,,,,
714,,,,,,,,
715,,,,,,,,
716,,,,,,,,
717,,,,,,,,
718,,,,,,,,
719,,,,,,,,
720,,,,,,,,
721,,,,,,,,
722,,,,,,,,
723,,,,,,,,
724,,,,,,,,
725,,,,,,,,
726,,,,,,,,
727,,,,,,,,
728,,,,,,,,
729,,,,,,,,
730,,,,,,,,
731,,,,,,,,
732,,,,,,,,
733,,,,,,,,
734,,,,,,,,
735,,,,,,,,
736,,,,,,,,
737,,,,,,,,
738,,,,,,,,
739,,,,,,,,
740,,,,,,,,
741,,,,,,,,
742,,,,,,,,
743,,,,,,,,
744,,,,,,,,
745,,,,,,,,
746,,,,,,,,
747,,,,,,,,
748,,,,,,,,
749,,,,,,,,
750,,,,,,,,
751,,,,,,,,
752,,,,,,,,0.006054
753,,,,,,,,0.021604
754,,,,,,,,0.056502
755,,,,,,,,0.120503
756,,,,,,,,0.222029
757,,,,,,,,0.379123
758,,,,,,,,0.590557
759,,,,,,,,0.811502
760,,,,,,,,0.939859
761,,,,,,,,0.980257
762,,,,,,,,0.983135
763,,,,,,,,0.980807
764,,,,,,,,0.97061
765,,,,,,,,0.953421
766,,,,,,,,0.904725
767,,,,,,,,0.820251
768,,,,,,,,0.689741
769,,,,,,,,0.492234
770,,,,,,,,0.262109
771,,,,,,,,0.098411
772,,,,,,,,0.033271
773,,,,,,,,0.012202
774,,,,,,,,0.005222
775,,,,,,,,
776,,,,,,,,
777,,,,,,,,
778,,,,,,,,
779,,,,,,,,
780,,,,,,,,
781,,,,,,,,
782,,,,,,,,
783,,,,,,,,
784,,,,,,,,
785,,,,,,,,
786,,,,,,,,
787,,,,,,,,
788,,,,,,,,
789,,,,,,,,
790,,,,,,,,
791,,,,,,,,
792,,,,,,,,
793,,,,,,,,
794,,,,,,,,
795,,,,,,,,
796,,,,,,,,
797,,,,,,,,
798,,,,,,,,
799,,,,,,,,
800,,,,,,,,
