wavelength,RSR_Rrs_400,RSR_Rrs_412.5,RSR_Rrs_442.5,RSR_Rrs_490,RSR_Rrs_510,RSR_Rrs_560,RSR_Rrs_620,RSR_Rrs_665,RSR_Rrs_673.75,RSR_Rrs_681.25,RSR_Rrs_708.75,RSR_Rrs_753.75,RSR_Rrs_761.25,RSR_Rrs_764.375,RSR_Rrs_767.5,RSR_Rrs_778.75,RSR_Rrs_865,RSR_Rrs_885,RSR_Rrs_900,RSR_Rrs_940,RSR_Rrs_1020
499,,,,0.000000581,,,,,,,,,,,,,,,,,
500,,,,,,,,,,,,,,,,,,,,,
501,,,,,0.000000005,,,,,,,,,,,,,,,,
502,,,,,0.000002952,,,,,,,,,,,,,,,,
503,,,,,0.00053812,,,,,,,,,,,,,,,,
504,,,,,0.0255924,,,,,,,,,,,,,,,,
505,,,,,0.288108,,,,,,,,,,,,,,,,
506,,,,,0.794649,,,,,,,,,,,,,,,,
507,,,,,0.959393,,,,,,,,,,,,,,,,
508,,,,,0.972706,,,,,,,,,,,,,,,,
509,,,,,0.977193,,,,,,,,,,,,,,,,
510,,,,,0.98282,,,,,,,,,,,,,,,,
511,,,,,0.988853,,,,,,,,,,,,,,,,
512,,,,,0.994082,,,,,,,,,,,,,,,,
513,,,,,0.998084,,,,,,,,,,,,,,,,
514,,,,,0.976436,,,,,,,,,,,,,,,,
515,,,,,0.703952,,,,,,,,,,,,,,,,
516,,,,,0.178312,,,,,,,,,,,,,,,,
517,,,,,0.0104639,,,,,,,,,,,,,,,,
518,,,,,0.000152111,,,,,,,,,,,,,,,,
519,,,,,0.000000596,,,,,,,,,,,,,,,,
520,,,,,,,,,,,,,,,,,,,,,
521,,,,,,,,,,,,,,,,,,,,,
522,,,,,,,,,,,,,,,,,,,,,
523,,,,,,,,,,,,,,,,,,,,,
524,,,,,,,,,,,,,,,,,,,,,
525,,,,,,,,,,,,,,,,,,,,,
526,,,,,,,,,,,,,,,,,,,,,
527,,,,,,,,,,,,,,,,,,,,,
528,,,,,,,,,,,,,,,,,,,,,
529,,,,,,,,,,,,,,,,,,,,,
530,,,,,,,,,,,,,,,,,,,,,
531,,,,,,,,,,,,,,,,,,,,,
532,,,,,,,,,,,,,,,,,,,,,
533,,,,,,,,,,,,,,,,,,,,,
534,,,,,,,,,,,,,,,,,,,,,
535,,,,,,,,,,,,,,,,,,,,,
536,,,,,,,,,,,,,,,,,,,,,
537,,,,,,,,,,,,,,,,,,,,,
538,,,,,,,,,,,,,,,,,,,,,
539,,,,,,,,,,,,,,,,,,,,,
540,,,,,,,,,,,,,,,,,,,,,
541,,,,,,,,,,,,,,,,,,,,,
542,,,,,,,,,,,,,,,,,,,,,
543,,,,,,,,,,,,,,,,,,,,,
544,,,,,,,,,,,,,,,,,,,,,
545,,,,,,,,,,,,,,,,,,,,,
546,,,,,,,,,,,,,,,,,,,,,
547,,,,,,,,,,,,,,,,,,,,,
548,,,,,,,,,,,,,,,,,,,,,
549,,,,,,,,,,,,,,,,,,,,,
550,,,,,,,,,,,,,,,,,,,,,
551,,,,,,0.000000005,,,,,,,,,,,,,,,
552,,,,,,0.000003169,,,,,,,,,,,,,,,
553,,,,,,0.000578129,,,,,,,,,,,,,,,
554,,,,,,0.0273172,,,,,,,,,,,,,,,
555,,,,,,0.302121,,,,,,,,,,,,,,,
556,,,,,,0.817751,,,,,,,,,,,,,,,
557,,,,,,0.978858,,,,,,,,,,,,,,,
558,,,,,,0.989161,,,,,,,,,,,,,,,
