wavelength,RSR_Rrs_380,RSR_Rrs_412,RSR_Rrs_443,RSR_Rrs_490,RSR_Rrs_510,RSR_Rrs_555,RSR_Rrs_620,RSR_Rrs_660,RSR_Rrs_680,RSR_Rrs_709,RSR_Rrs_745,RSR_Rrs_865
510,,,,0.000000214,0.981977467,,,,,,,
511,,,,,0.982105621,,,,,,,
512,,,,,0.99371045,,,,,,,
513,,,,,0.999183509,,,,,,,
514,,,,,1,,,,,,,
515,,,,,0.99642861,,,,,,,
516,,,,,0.990212804,,,,,,,
517,,,,,0.974302314,,,,,,,
518,,,,,0.959079852,,,,,,,
519,,,,,0.858290752,,,,,,,
520,,,,,0.543628895,,,,,,,
521,,,,,0.242071937,,,,,,,
522,,,,,0.074699028,,,,,,,
523,,,,,0.03891565,,,,,,,
524,,,,,0.029239355,,,,,,,
525,,,,,0.022997876,,,,,,,
526,,,,,0.008644975,,,,,,,
527,,,,,0.000080305,,,,,,,
528,,,,,0.000350247,,,,,,,
529,,,,,0.000441028,,,,,,,
530,,,,,,,,,,,,
531,,,,,,,,,,,,
532,,,,,,,,,,,,
533,,,,,,,,,,,,
534,,,,,,,,,,,,
535,,,,,,,,,,,,
536,,,,,,,,,,,,
537,,,,,,,,,,,,
538,,,,,,,,,,,,
539,,,,,,,,,,,,
540,,,,,,,,,,,,
541,,,,,,0.003565312,,,,,,
542,,,,,,0.018439492,,,,,,
543,,,,,,0.051022339,,,,,,
544,,,,,,0.180443094,,,,,,
545,,,,,,0.451837828,,,,,,
546,,,,,,0.695982819,,,,,,
547,,,,,,0.779910952,,,,,,
548,,,,,,0.813306494,,,,,,
549,,,,,,0.849558313,,,,,,
550,,,,,,0.859548824,,,,,,
551,,,,,,0.869530705,,,,,,
552,,,,,,0.897412873,,,,,,
553,,,,,,0.927408403,,,,,,
554,,,,,,0.932744939,,,,,,
555,,,,,,0.923144462,,,,,,
556,,,,,,0.936508665,,,,,,
557,,,,,,0.969955215,,,,,,
558,,,,,,1,,,,,,
559,,,,,,0.967881559,,,,,,
560,,,,,,0.899734533,,,,,,
561,,,,,,0.829807746,,,,,,
562,,,,,,0.76350231,,,,,,
563,,,,,,0.762423838,,,,,,
564,,,,,,0.805571353,,,,,,
565,,,,,,0.626965987,,,,,,
566,,,,,,0.230187474,,,,,,
567,,,,,,0.036346144,,,,,,
568,,,,,,0.007607081,,,,,,
569,,,,,,0.000738573,,,,,,
570,,,,,,0.001516467,,,,,,
571,,,,,,0.000867984,,,,,,
572,,,,,,0.000803188,,,,,,
573,,,,,,0.001298188,,,,,,
574,,,,,,0.000687033,,,,,,
575,,,,,,0.000001033,,,,,,
576,,,,,,,,,,,,
577,,,,,,,,,,,,
578,,,,,,,,,,,,
579,,,,,,,,,,,,
580,,,,,,,,,,,,
581,,,,,,,,,,,,
582,,,,,,,,,,,,
583,,,,,,,,,,,,
584,,,,,,,,,,,,
585,,,,,,,,,,,,
586,,,,,,,,,,,,
587,,,,,,,,,,,,
588,,,,,,,,,,,,
589,,,,,,,,,,,,
590,,,,,,,,,,,,
591,,,,,,,,,,,,
592,,,,,,,,,,,,
593,,,,,,,,,,,,
594,,,,,,,,,,,,
595,,,,,,,,,,,,
596,,,,,,,,,,,,
597,,,,,,,,,,,,
598,,,,,,,,,,,,
599,,,,,,,,,,,,
600,,,,,,,,,,,,
601,,,,,,,,,,,,
602,,,,,,,0.000739671,,,,,
603,,,,,,,0.000899808,,,,,
604,,,,,,,0.005178454,,,,,
605,,,,,,,0.02551315,,,,,
606,,,,,,,0.057510571,,,,,
607,,,,,,,0.109869348,,,,,
608,,,,,,,0.22902636,,,,,
609,,,,,,,0.399087518,,,,,
610,,,,,,,0.503663644,,,,,
611,,,,,,,0.568935414,,,,,
612,,,,,,,0.659555964,,,,,
613,,,,,,,0.805932905,,,,,
614,,,,,,,0.929539031,,,,,
615,,,,,,,0.97445944,,,,,
616,,,,,,,0.979807471,,,,,
617,,,,,,,0.981077002,,,,,
618,,,,,,,0.998231764,,,,,
619,,,,,,,1,,,,,
620,,,,,,,0.976934834,,,,,
621,,,,,,,0.942019603,,,,,
622,,,,,,,0.918510151,,,,,
623,,,,,,,0.924937773,,,,,
624,,,,,,,0.947391315,,,,,
625,,,,,,,0.958555335,,,,,
626,,,,,,,0.947828194,,,,,
627,,,,,,,0.917096974,,,,,
628,,,,,,,0.84802623,,,,,
629,,,,,,,0.696005078,,,,,
630,,,,,,,0.520589982,,,,,
631,,,,,,,0.364477743,,,,,
632,,,,,,,0.17700081,,,,,
633,,,,,,,0.047111089,,,,,
634,,,,,,,0.010698642,,,,,
635,,,,,,,0.0000311,,,,,
636,,,,,,,0,,,,,
637,,,,,,,0.000339948,,,,,
638,,,,,,,0.000379748,,,,,
639,,,,,,,0.000119956,,,,,
640,,,,,,,,,,,,
641,,,,,,,,,,,,
642,,,,,,,,0.0003331,,,,
643,,,,,,,,0.003402184,,,,
644,,,,,,,,0.003091647,,,,
645,,,,,,,,0.008263282,,,,
646,,,,,,,,0.012747521,,,,
647,,,,,,,,0.033607468,,,,
648,,,,,,,,0.084256761,,,,
649,,,,,,,,0.23078026,,,,
650,,,,,,,,0.495781211,,,,
651,,,,,,,,0.786146126,,,,
652,,,,,,,,0.924445423,,,,
653,,,,,,,,0.937069921,,,,
654,,,,,,,,0.941934561,,,,
655,,,,,,,,0.968190642,,,,
656,,,,,,,,0.99424141,,,,
657,,,,,,,,0.999469451,,,,
658,,,,,,,,1,,,,
659,,,,,,,,0.99893961,,,,
660,,,,,,,,0.992197166,,,,
661,,,,,,,,0.978011452,,,,
662,,,,,,,,0.969832201,,,,
663,,,,,,,,0.970672343,,,,
664,,,,,,,,0.976233027,,,,
665,,,,,,,,0.989722166,,,,
666,,,,,,,,0.995977214,,,,
667,,,,,,,,0.971052921,,,,
668,,,,,,,,0.890815611,,,,
669,,,,,,,,0.710450936,,,,
670,,,,,,,,0.480308692,,,,
671,,,,,,,,0.276261844,0.0003,,,
672,,,,,,,,0.122910187,0.003518189,,,
